Countries and territories,Place,Start date,End date,Level,HTML_TYPE
Albania,"NA",2020-03-13,"NA",National,24/05/2020 04:15:13_local
Algeria,"NA",2020-03-23,2020-05-14,City,24/05/2020 04:15:13_local
Argentina,"NA",2020-03-19,2020-05-24,National,24/05/2020 04:15:13_local
Armenia,"NA",2020-03-24,2020-05-04,National,24/05/2020 04:15:13_local
Australia,"NA",2020-03-23,"NA",National,24/05/2020 04:15:13_local
Austria,"NA",2020-03-16,2020-04-13,National,24/05/2020 04:15:13_local
Azerbaijan,"NA",2020-03-31,2020-04-20,National,24/05/2020 04:15:13_local
Bangladesh,"NA",2020-03-26,2020-05-16,National,24/05/2020 04:15:13_local
Barbados,"NA",2020-03-28,2020-05-03,National,24/05/2020 04:15:13_local
Belgium,"NA",2020-03-18,2020-05-04,National,24/05/2020 04:15:13_local
Bermuda,"NA",2020-04-04,2020-05-02,National,24/05/2020 04:15:13_local
Bolivia,"NA",2020-03-22,2020-04-15,National,24/05/2020 04:15:13_local
Botswana,"NA",2020-04-02,2020-04-30,National,24/05/2020 04:15:13_local
Brazil,Santa Catarina,2020-03-17,2020-04-07,State,24/05/2020 04:15:13_local
Brazil,São Paulo,2020-03-24,2020-05-10,State,24/05/2020 04:15:13_local
Colombia,"NA",2020-03-25,2020-05-31,National,24/05/2020 04:15:13_local
Republic of the Congo,"NA",2020-03-31,2020-04-20,National,24/05/2020 04:15:13_local
Costa Rica,"NA",2020-03-23,"NA",National,24/05/2020 04:15:13_local
Croatia,"NA",2020-03-18,2020-04-19,National,24/05/2020 04:15:13_local
Czech Republic,"NA",2020-03-16,2020-04-12,National,24/05/2020 04:15:13_local
Ecuador,"NA",2020-03-16,2020-03-31,National,24/05/2020 04:15:13_local
El Salvador,"NA",2020-03-12,2020-04-02,National,24/05/2020 04:15:13_local
Eritrea,"NA",2020-04-02,2020-04-23,National,24/05/2020 04:15:13_local
Fiji,Lautoka,2020-03-20,2020-04-07,City,24/05/2020 04:15:13_local
Fiji,Suva,2020-04-03,2020-04-17,City,24/05/2020 04:15:13_local
Finland,Uusimaa,2020-03-27,2020-04-16,Region,24/05/2020 04:15:13_local
France,"NA",2020-03-17,2020-05-11,National,24/05/2020 04:15:13_local
Georgia,"NA",2020-03-31,2020-04-21,National,24/05/2020 04:15:13_local
Germany,"NA",2020-03-23,2020-04-20,National,24/05/2020 04:15:13_local
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area,24/05/2020 04:15:13_local
Greece,"NA",2020-03-23,2020-05-04,National,24/05/2020 04:15:13_local
Guernsey,"NA",2020-03-25,"NA",National,24/05/2020 04:15:13_local
Honduras,"NA",2020-03-20,2020-05-17,National,24/05/2020 04:15:13_local
Hungary,"NA",2020-03-28,2020-04-10,National,24/05/2020 04:15:13_local
India,"NA",2020-03-25,2020-05-31,National,24/05/2020 04:15:13_local
Iran,"NA",2020-03-14,2020-04-20,National,24/05/2020 04:15:13_local
Iraq,"NA",2020-03-22,2020-04-11,National,24/05/2020 04:15:13_local
Ireland,"NA",2020-03-12,2020-05-18,National,24/05/2020 04:15:13_local
Israel,Bnei Brak,2020-04-02,"NA",City,24/05/2020 04:15:13_local
Italy,"NA",2020-03-09,2020-05-03,National,24/05/2020 04:15:13_local
Jamaica,Saint Catherine,2020-04-15,2020-04-22,Parish,24/05/2020 04:15:13_local
Jordan,"NA",2020-03-18,2020-04-30,National,24/05/2020 04:15:13_local
Kosovo,"NA",2020-03-14,2020-05-04,National,24/05/2020 04:15:13_local
Kuwait,"NA",2020-03-14,2020-03-29,National,24/05/2020 04:15:13_local
Lebanon,"NA",2020-03-15,2020-03-28,National,24/05/2020 04:15:13_local
Liberia,Margibi,2020-03-23,2020-04-11,County,24/05/2020 04:15:13_local
Libya,"NA",2020-03-22,"NA",National,24/05/2020 04:15:13_local
Lithuania,"NA",2020-03-16,2020-04-27,National,24/05/2020 04:15:13_local
Madagascar,Antananarivo,2020-03-23,2020-04-20,City,24/05/2020 04:15:13_local
Malaysia,"NA",2020-03-18,2020-06-09,National,24/05/2020 04:15:13_local
Mongolia,"NA",2020-03-10,2020-03-16,National,24/05/2020 04:15:13_local
Montenegro,Tuzi,2020-03-24,"NA",Municipality,24/05/2020 04:15:13_local
Morocco,"NA",2020-03-19,2020-04-20,National,24/05/2020 04:15:13_local
Namibia,"NA",2020-03-27,2020-05-04,National,24/05/2020 04:15:13_local
Nepal,"NA",2020-03-24,2020-04-15,National,24/05/2020 04:15:13_local
New Zealand,"NA",2020-03-26,2020-05-14,National,24/05/2020 04:15:13_local
Nigeria,Abuja,2020-03-30,2020-04-12,City,24/05/2020 04:15:13_local
Northern Cyprus,"NA",2020-03-30,"NA",National,24/05/2020 04:15:13_local
Oman,Muscat,2020-04-10,2020-05-29,Governorate,24/05/2020 04:15:13_local
Oman,Jalan Bani Bu Ali,2020-04-16,TBD,Province,24/05/2020 04:15:13_local
Pakistan,"NA",2020-03-24,2020-05-09,National,24/05/2020 04:15:13_local
Panama,"NA",2020-03-25,"NA",National,24/05/2020 04:15:13_local
Papua New Guinea,"NA",2020-03-24,2020-04-07,National,24/05/2020 04:15:13_local
Paraguay,"NA",2020-03-20,2020-05-03,National,24/05/2020 04:15:13_local
Peru,"NA",2020-03-16,2020-05-24,National,24/05/2020 04:15:13_local
Philippines,Cebu,2020-03-27,2020-05-15,Province,24/05/2020 04:15:13_local
Philippines,Davao Region,2020-03-19,2020-05-15,Region,24/05/2020 04:15:13_local
Philippines,Luzon,2020-03-15,2020-04-30,Island group,24/05/2020 04:15:13_local
Philippines,Soccsksargen,2020-03-23,"NA",Region,24/05/2020 04:15:13_local
Poland,"NA",2020-03-13,2020-04-11,National,24/05/2020 04:15:13_local
Portugal,"NA",2020-03-19,2020-04-02,National,24/05/2020 04:15:13_local
Qatar,Doha Industrial Area,2020-03-11,"NA",Industrial park,24/05/2020 04:15:13_local
Romania,"NA",2020-03-25,2020-05-12,National,24/05/2020 04:15:13_local
Russia,Moscow,2020-03-30,2020-05-12,Metropolitan area,24/05/2020 04:15:13_local
Russia,[j],2020-03-28,2020-04-30,National,24/05/2020 04:15:13_local
Rwanda,"NA",2020-03-21,2020-04-19,National,24/05/2020 04:15:13_local
Samoa,"NA",2020-03-26,2020-04-08,National,24/05/2020 04:15:13_local
San Marino,"NA",2020-03-14,2020-05-05,National,24/05/2020 04:15:13_local
Saudi Arabia,Jeddah,2020-03-29,"NA",City,24/05/2020 04:15:13_local
Saudi Arabia,Qatif,2020-03-09,Area,City,24/05/2020 04:15:13_local
Saudi Arabia,Riyadh,2020-03-26,City,City,24/05/2020 04:15:13_local
Serbia,"NA",2020-03-15,2020-04-21,National,24/05/2020 04:15:13_local
