Countries and territories,Place,HTML_TYPE
Belarus,"NA",24/05/2020 04:15:13_local
Indonesia,"NA",24/05/2020 04:15:13_local
Japan,"NA",24/05/2020 04:15:13_local
Malawi,"NA",24/05/2020 04:15:13_local
Nicaragua,"NA",24/05/2020 04:15:13_local
South Korea,"NA",24/05/2020 04:15:13_local
Sweden,"NA",24/05/2020 04:15:13_local
Taiwan,"NA",24/05/2020 04:15:13_local
United States,Arkansas,24/05/2020 04:15:13_local
"NA",Iowa,24/05/2020 04:15:13_local
"NA",Nebraska,24/05/2020 04:15:13_local
"NA",North Dakota,24/05/2020 04:15:13_local
"NA",South Dakota,24/05/2020 04:15:13_local
